Symbol,Company Name
RELIANCE,Reliance Industries Limited
TCS,Tata Consultancy Services Limited
HDFCBANK,HDFC Bank Limited
ICICIBANK,ICICI Bank Limited
HINDUNILVR,Hindustan Unilever Limited
INFY,Infosys Limited
HDFC,Housing Development Finance Corporation Limited
ITC,ITC Limited
SBIN,State Bank of India
BHARTIARTL,Bharti Airtel Limited
KOTAKBANK,Kotak Mahindra Bank Limited
BAJFINANCE,Bajaj Finance Limited
LICI,Life Insurance Corporation Of India
LT,Larsen & Toubro Limited
HCLTECH,HCL Technologies Limited
ASIANPAINT,Asian Paints Limited
AXISBANK,Axis Bank Limited
MARUTI,Maruti Suzuki India Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
TITAN,Titan Company Limited
DMART,Avenue Supermarts Limited
ULTRACEMCO,UltraTech Cement Limited
BAJAJFINSV,Bajaj Finserv Limited
WIPRO,Wipro Limited
ADANIENT,Adani Enterprises Limited
ONGC,Oil & Natural Gas Corporation Limited
NTPC,NTPC Limited
JSWSTEEL,JSW Steel Limited
POWERGRID,Power Grid Corporation of India Limited
M&M,Mahindra & Mahindra Limited
LTIM,LTIMindtree Limited
TATAMOTORS,Tata Motors Limited
ADANIGREEN,Adani Green Energy Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
COALINDIA,Coal India Limited
TATASTEEL,Tata Steel Limited
HINDZINC,Hindustan Zinc Limited
PIDILITIND,Pidilite Industries Limited
SIEMENS,Siemens Limited
ADANITRANS,Adani Transmission Limited
SBILIFE,SBI Life Insurance Company Limited
IOC,Indian Oil Corporation Limited
BAJAJ-AUTO,Bajaj Auto Limited
GRASIM,Grasim Industries Limited
TECHM,Tech Mahindra Limited
HDFCLIFE,HDFC Life Insurance Company Limited
BRITANNIA,Britannia Industries Limited
VEDL,Vedanta Limited
GODREJCP,Godrej Consumer Products Limited
DABUR,Dabur India Limited
ATGL,Adani Total Gas Limited
SHREECEM,SHREE CEMENT LIMITED
HAL,Hindustan Aeronautics Limited
HINDALCO,Hindalco Industries Limited
VBL,Varun Beverages Limited
DLF,DLF Limited
BANKBARODA,Bank of Baroda
INDUSINDBK,IndusInd Bank Limited
EICHERMOT,Eicher Motors Limited
DRREDDY,Dr. Reddy's Laboratories Limited
DIVISLAB,Divi's Laboratories Limited
BPCL,Bharat Petroleum Corporation Limited
HAVELLS,Havells India Limited
ADANIPOWER,Adani Power Limited
INDIGO,InterGlobe Aviation Limited
CIPLA,Cipla Limited
AMBUJACEM,Ambuja Cements Limited
SRF,SRF Limited
ABB,ABB India Limited
BEL,Bharat Electronics Limited
SBICARD,SBI Cards and Payment Services Limited
GAIL,GAIL (India) Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
MARICO,Marico Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
TATAPOWER,Tata Power Company Limited
BOSCHLTD,Bosch Limited
BERGEPAINT,Berger Paints (I) Limited
JINDALSTEL,Jindal Steel & Power Limited
MCDOWELL-N,United Spirits Limited
UPL,UPL Limited
AWL,Adani Wilmar Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
CANBK,Canara Bank
PNB,Punjab National Bank
TVSMOTOR,TVS Motor Company Limited
ZYDUSLIFE,Zydus Lifesciences Limited
TIINDIA,Tube Investments of India Limited
TRENT,Trent Limited
IDBI,IDBI Bank Limited
NAUKRI,Info Edge (India) Limited
SHRIRAMFIN,Shriram Finance Limited
HEROMOTOCO,Hero MotoCorp Limited
INDHOTEL,The Indian Hotels Company Limited
PIIND,PI Industries Limited
IRCTC,Indian Railway Catering And Tourism Corporation Limited
CGPOWER,CG Power and Industrial Solutions Limited
UNIONBANK,Union Bank of India
MOTHERSON,Samvardhana Motherson International Limited
CUMMINSIND,Cummins India Limited
SCHAEFFLER,Schaeffler India Limited
LODHA,Macrotech Developers Limited
ZOMATO,Zomato Limited
PGHH,Procter & Gamble Hygiene and Health Care Limited
